x_pix,y_pix,z_pix,brightness,zrsquare,zciratio,hyb,cellID,fov
214.072459633899,231.213765560347,12.4905824407989,3530.62066840202,0.999999998843882,0.000565709171602554,1,5,3
235.650923372826,198.506649674665,16.8978361679363,1998.64156690585,0.949376341947182,0.147509687344067,1,5,3
NaN,NaN,NaN,NaN,NaN,NaN,1,6,3
NaN,NaN,NaN,NaN,NaN,NaN,1,6,3
158.735652609198,196.894709439378,12.0929617443001,6926.31120219921,0.93053621441295,0.163746616100764,1,6,3
164.964767380216,218.702895532925,12.3923590973766,2256.35278083534,0.995486401815956,0.0478173290694451,1,6,3
166.759031485324,205.324256303687,8.11145964366439,3698.04504265852,0.995719333471186,0.052079891675607,1,6,3
195.217075738544,220.701027255149,14.3306780522016,1946.98193947248,0.925671505282723,0.19785546277266,1,6,3
NaN,NaN,NaN,NaN,NaN,NaN,1,7,3
NaN,NaN,NaN,NaN,NaN,NaN,1,7,3
153.798391057635,213.278011585618,25.5629689403444,1494.10178009365,0.202374812268771,2397.28468455667,1,7,3
201.653593092393,184.176869582957,4.5324440857918,1355.77691244468,0.928047396717187,0.192662029598974,1,7,3
207.115111215891,241.56497103673,24.869678609936,4887.69020925064,0.688774458625614,0.391450248658857,1,7,3
219.083526532496,215.047142871654,23.4844319415891,2108.87794986199,0.999999999125215,0.000921874441580428,1,7,3
229.930360835161,187.829209839738,12.999996642692,841.937267952827,0.999999999999816,0.0182349019369396,1,7,3
NaN,NaN,NaN,NaN,NaN,NaN,2,7,3
0,0,0,0,0,0,2,7,3
194.437329947889,243.072746135879,26.8068399581837,274.479450759586,0.846514165692061,0.284681829079039,2,7,3
